# game of the century
# 17 oct 1956, new york city, usa
# w:byrne, b:fischer
Ng1f3   Ng8f6
Pc2c4   Pg7g6
Nb1c3   Bf8g7
Pd2d4   Ke8g8%
Bc1f4   Pd7d5
Qd1b3   Pd5c4:
Qb3c4:  Pc7c6
Pe2e4   Nb8d7
Ra1d1   Nd7b6
Qc4c5   Bc8g4
Bf4g5   Nb6a4
Qc5a3   Na4c3:
Pb2c3:  Nf6e4:
Bg5e7:  Qd8b6
Bf1c4   Ne4c3:
Be7c5   Rf8e8*
Ke1f1   Bg4e6
Bc5b6   Be6c4*
Kf1g1   Nc3e2+
Kg1f1   Ne2d4*
Kf1g1   Nd4e2+
Kg1f1   Ne2c3+
Kf1g1   Pa7b6:
Qa3b4   Ra8a4
Qb4b6:  Nc3d1:
Ph2h3   Ra4a2:
Kg1h2   Nd1f2:
Rh1e1   Re8e1:
Qb6d8+  Bg7f8
Nf3e1:  Bc4d5
Ne1f3   Nf2e4
Qd8b8   Pb7b5
Ph3h4   Ph7h5
Nf3e5   Kg8g7
Kh2g1   Bf8c5+
Kg1f1   Ne4g3+
Kf1e1   Bc5b4+
Ke1d1   Bd5b3+
Kd1c1   Ng3e2+
Kc1b1   Ne2c3+
Kb1c1   Ra2c2#

