# deep blue ai, game 1
# 10 feb, 1996, philadelpia, usa
# w:deep blue, b:kasparov
Pe2e4   Pc7c5
Pc2c3   Pd7d5
Pe4d5:  Qd8d5:
Pd2d4   Ng8f6
Ng1f3   Bc8g4
Bf1e2   Pe7e6
Ph2h3   Bg4h5
Ke1g1%  Nb8c6
Bc1e3   Pc5d4:
Pc3d4:  Bf8b4
Pa2a3   Bb4a5
Nb1c3   Qd5d6
Nc3b5   Qd6e7
Nf3e5   Bh5e2:
Qd1e2:  Ke8g8%
Ra1c1   Ra8c8
Be3g5   Ba5b6
Bg5f6:  Pg7f6:
Ne5c4   Rf8d8
Nc4b6:  Pa7b6:
Rf1d1   Pf6f5
Qe2e3   Qe7f6
Pd4d5   Rd8d5:
Rd1d5:  Pe6d5:
Pb2b3   Kg8h8
Qe3b6:  Rc8g8
Qb6c5   Pd5d4
Nb5d6   Pf5f4
Nd6b7:  Nc6e5
Qc5d5   Pf4f3
Pg2g3   Ne5d3
Rc1c7   Rg8e8
Nb7d6   Re8e1+
Kg1h2   Nd3f2:
Nd6f7*  Kh8g7
Nf7g5+  Kg7h6
Rc7h7*  bye

