# immortal game
# 21 jun 1851, london, uk
# w:anderssen, b:kieseritzky
Pe2e4   Pe7e5
Pf2f4   Pe5f4:
Bf1c4   Qd8h4+
Ke1f1   Pb7b5
Bc4b5:  Ng8f6
Ng1f3   Qh4h6
Nb1c3   Pc7c6
Bb5c4   Pd7d6
Pd2d4   Nf6h5
Nc3e2   Bf8e7
Pe4e5   Pd6d5
Bc4d3   Ke8g8%
Rh1g1   Pg7g5
Kf1e1   Pf7f6
Pg2g3   Pf4g3:
Ne2g3:  Bc8g4
Nf3g5:  Bg4d1:
Ng3f5   Pf6g5:
Nf5h6*  Kg8g7
Bc1g5:  Be7g5:
Nh6f5+  Rf8f5:
Bd3f5:  Kg7h6
Ra1d1:  Nb8a6
Rd1d3   Ra8f8
Bf5g4   Rf8f4
Rd3h3   Rf4e4+
Ke1f2   Re4f4+
Kf2e2   Rf4e4+
Ke2d3   Na6b4+
Kd3c3   Nb4a2*
Kc3b3   Na2c1+
Kb3a4   Re4d4*
Ka4a5   Bg5d8+
Ka5a6   Rd4g4:
Rg1g4:  Bd8b6
Rg4g8   Nc1e2
Pe5e6   Ne2f4
Pe6e7   Nf4e6
Rh3h5*  Kh6h5:
Pe7e8Q+ bye

