# kasparov vs the world
# 10 feb, 1996, philadelpia, usa
# w:kasparov, b:world
Pe2e4   Pc7c5
Ng1f3   Pd7d6
Bf1b5   Bc8d7
Bb5d7*  Qd8d7:
Pc2c4   Nb8c6
Nb1c3   Ng8f6
Ke1g1%  Pg7g6
Pd2d4   Pc5d4:
Nf3d4:  Bf8g7
Nd4e2   Qd7e6
Nc3d5   Qe6e4:
Nd5c7+  Ke8d7
Nc7a8:  Qe4c4:
Na8b6+  Pa7b6:
Ne2c3   Rh8a8
Pa2a4   Nf6e4
Nc3e4:  Qc4e4:
Qd1b3   Pf7f5
Bc1g5   Qe4b4
Qb3f7   Bg7e5
Ph2h3   Ra8a4:
Ra1a4:  Qb4a4:
Qf7h7   Be5b2:
Qh7g6:  Qa4e4
Qg6f7   Bb2d4
Qf7b3   Pf5f4
Qb3f7   Bd4e5
Ph3h4   Pb6b5
Ph4h5   Qe4c4
Qf7f5+  Qc4e6
Qf5e6*  Kd7e6:
Pg2g3   Pf4g3:
Pf2g3:  Pb5b4
Bg5f4   Be5d4+
Kg1h1   Pb4b3
Pg3g4   Ke6d5
Pg4g5   Pe7e6
Ph5h6   Nc6e7
Rf1d1   Pe6e5
Bf4e3   Kd5c4
Be3d4:  Pe5d4:
Kh1g2   Pb3b2
Kg2f3   Kc4c3
Ph6h7   Ne7g6
Kf3e4   Kc3c2
Rd1h1   Pd4d3
Ke4f5   Pb2b1Q
Rh1b1:  Kc2b1:
Kf5g6:  Pd3d2
Ph7h8Q  Pd2d1Q
Qh8h7   Pb7b5
Kg6f6+  Kb1b2
Qh7h2+  Kb2a1
Qh2f4   Pb5b4
Qf4b4:  Qd1f3+
Kf6g7   Pd6d5
Qb4d4+  Ka1b1
Pg5g6   Qf3e4
Qd4g1+  Kb1b2
Qg1f2+  Kb2c1
Kg7f6   Pd5d4
Pg6g7   bye

